x_birth,y_birth,z_birth,x,y,z,vx,vy,vz,age,n_ISM,spiralarm,morph_type,v_abs,E_SN,r_out,r_in,L_SNR
-9.22000144255,14.613237742,0.0261665602138,-9.22000144255,14.613237742,0.0261665602138,-322.849219745,370.237334365,-207.681061725,12003.1261174,1.0,Norma,delta2d,533.327972121,1e+51,10.2881134597,9.34777988952,1.0768e+33
-13.1339220157,5.63347470246,0.0448337572322,-13.1339220157,5.63347470246,0.0448337572322,-242.720333879,221.702741127,-276.244147081,23105.4821954,1.0,Perseus,delta2d,429.390375646,1e+51,13.3691566464,12.147215729,1.0768e+33
-6.79008960195,-2.50965214562,-0.00298388271876,-6.79008960195,-2.50965214562,-0.00298388271876,1.78390772828,-55.749888048,-103.183977048,16752.1920674,1.0,Crux Scutum,delta2d,117.295206482,1e+51,11.7556502023,10.6811837738,1.0768e+33
-6.8128339173,4.71016883898,-0.129735814467,-6.8128339173,4.71016883898,-0.129735814467,151.065602665,-75.4803867884,120.3503091,3529.61319745,1.0,Carina Sagittarius,delta2d,207.369964071,1e+51,6.30534484108,5.7290363226,1.0768e+33
7.56764235184,-9.92465226165,0.00178219034484,7.56764235184,-9.92465226165,0.00178219034484,158.16583442,79.2324011503,-225.160225852,33046.6671815,1.0,Crux Scutum,delta2d,286.341285664,1e+51,15.4265589839,14.0165714928,1.0768e+33
-4.73184478938,-0.429962878876,-0.0664790695342,-4.73184478938,-0.429962878876,-0.0664790695342,264.340783305,-531.180945858,497.946398293,662.826971655,1.0,Norma,delta2d,774.583670454,1e+51,3.22981811735,2.93461274143,1.0768e+33
-0.426208038181,1.65662753114,0.00847149850304,-0.426208038181,1.65662753114,0.00847149850304,-315.861822716,-264.963532477,-168.094116906,28722.3252877,1.0,Perseus,delta2d,445.230273825,1e+51,14.5849799339,13.251912768,1.0768e+33
3.60025259749,4.3391032866,-0.0230852204868,3.60025259749,4.3391032866,-0.0230852204868,244.272848595,-410.990489069,-89.4019871061,15842.7288416,1.0,Carina Sagittarius,delta2d,486.389886783,1e+51,11.496085709,10.4453434752,1.0768e+33
-8.42934478171,-1.4441230417,0.0370188079236,-8.42934478171,-1.4441230417,0.0370188079236,799.708761439,-242.49858536,-273.245707782,20799.0109951,1.0,Crux Scutum,delta2d,879.205825643,1e+51,12.8184369392,11.646831803,1.0768e+33
3.18338083411,1.46582421376,-0.0603153887408,3.18338083411,1.46582421376,-0.0603153887408,475.649682517,312.87813202,155.340680663,19105.2629968,1.0,Crux Scutum,delta2d,590.140723085,1e+51,12.3902253583,11.2577587605,1.0768e+33
5.91653578116,-0.475812467699,0.273222493613,5.91653578116,-0.475812467699,0.273222493613,-74.6263321409,-17.7085154639,211.141205319,16792.0641191,1.0,Perseus,delta2d,224.640356019,1e+51,11.7668341151,10.6913454769,1.0768e+33
-6.4998964188,2.32758389065,-0.0304227172798,-6.4998964188,2.32758389065,-0.0304227172798,-50.5409766849,87.6358023402,-282.325330415,21782.0645427,1.0,Crux Scutum,delta2d,299.903345047,1e+51,13.057427214,11.8639783666,1.0768e+33
13.8703055074,-2.33255517113,-0.0567014538397,13.8703055074,-2.33255517113,-0.0567014538397,-353.270156901,-178.713660841,387.37785811,13441.207093,1.0,Crux Scutum,delta2d,553.895280068,1e+51,10.764486226,9.78061218498,1.0768e+33
-2.23647242912,3.20317723265,-0.370596127346,-2.23647242912,3.20317723265,-0.370596127346,-236.451465214,332.008200076,223.589994612,6627.31070711,1.0,Norma,delta2d,464.899156818,1e+51,8.11246675763,7.37098729598,1.0768e+33
1.0938514376,15.5294547311,-0.0300862475403,1.0938514376,15.5294547311,-0.0300862475403,270.787738538,305.675756046,369.306689157,15331.8188392,1.0,Norma,delta2d,550.591588959,1e+51,11.3463315266,10.3092768251,1.0768e+33
5.1665263744,-0.0887534237835,-0.039555413732,5.1665263744,-0.0887534237835,-0.039555413732,-278.367596187,9.62549501411,-94.292688928,21462.3351052,1.0,Carina Sagittarius,delta2d,294.061694116,1e+51,12.9804212282,11.7940107279,1.0768e+33
8.58481230328,-3.27097108581,-0.0149689413304,8.58481230328,-3.27097108581,-0.0149689413304,225.777161106,-47.4100552017,-93.7490272586,29247.4347848,1.0,Norma,delta2d,249.021926591,1e+51,14.6910592374,13.3482964231,1.0768e+33
-6.68697433241,-4.60159548765,-0.194267182576,-6.68697433241,-4.60159548765,-0.194267182576,227.410383702,-477.138272044,-5.61357177046,6589.91402697,1.0,Crux Scutum,delta2d,528.590508289,1e+51,8.09412481091,7.3543218032,1.0768e+33
-2.9697422419,-0.859618696141,-0.0374007539935,-2.9697422419,-0.859618696141,-0.0374007539935,15.8196495663,-44.5423626092,-134.136956382,21930.4702979,1.0,Perseus,delta2d,142.221680649,1e+51,13.0929399338,11.8962452239,1.0768e+33
-4.97048025653,-2.06903047652,-0.0188136530221,-4.97048025653,-2.06903047652,-0.0188136530221,217.440169639,129.295729112,-191.204202238,9650.12397458,1.0,Norma,delta2d,317.106701116,1e+51,9.42825140483,8.56650922643,1.0768e+33
4.16921927632,3.19760924508,-0.00486135576033,4.16921927632,3.19760924508,-0.00486135576033,17.7555421427,-102.722801448,-281.122259474,8325.60625968,1.0,Carina Sagittarius,delta2d,299.828214126,1e+51,8.88759681459,8.07527046574,1.0768e+33
-6.96383545096,-5.75943567105,-0.00225970950818,-6.96383545096,-5.75943567105,-0.00225970950818,65.7579942047,-126.726262342,-2.03252602056,13736.9919783,1.0,Crux Scutum,delta2d,142.785820483,1e+51,10.8586205026,9.86614258865,1.0768e+33
-10.5946375545,7.82777242219,0.00709422448176,-10.5946375545,7.82777242219,0.00709422448176,71.7012394839,67.20402863,-683.856801661,11331.9339953,1.0,Perseus,delta2d,690.881736903,1e+51,10.0540169228,9.13507977609,1.0768e+33
-16.6533105358,-2.73399851693,0.00266201808229,-16.6533105358,-2.73399851693,0.00266201808229,-9.14623012224,-13.941271714,89.1898492538,11058.9318329,1.0,Perseus,delta2d,90.735008637,1e+51,9.95642140537,9.04640448892,1.0768e+33
-4.66461966875,10.8528054453,-0.107415854495,-4.66461966875,10.8528054453,-0.107415854495,167.727255385,-194.777667548,556.631804675,6411.38392939,1.0,Perseus,delta2d,613.114783666,1e+51,8.00568893022,7.27396896199,1.0768e+33
8.4035398706,-2.83852926559,-0.0364932113733,8.4035398706,-2.83852926559,-0.0364932113733,-77.4847436789,281.270445031,254.184761707,17183.2917671,1.0,Norma,delta2d,386.945528252,1e+51,11.8757362341,10.7902939423,1.0768e+33
10.1916404478,-7.58453996207,0.0136348442078,10.1916404478,-7.58453996207,0.0136348442078,12.2485916323,-12.8089451451,308.07513607,15868.2519476,1.0,Crux Scutum,delta2d,308.584488491,1e+51,11.5034903456,10.452071328,1.0768e+33
5.69990814263,-5.8688550008,-0.0401319103266,5.69990814263,-5.8688550008,-0.0401319103266,68.3805525801,-17.7837048411,-18.7212811695,11142.0255535,1.0,Norma,delta2d,73.0934093996,1e+51,9.98627812865,9.07353230769,1.0768e+33
-4.73304288402,9.72128467786,-0.0443786656683,-4.73304288402,9.72128467786,-0.0443786656683,-493.956834338,-233.101915742,-550.421835565,3566.91375986,1.0,Perseus,delta2d,775.431527847,1e+51,6.3319144873,5.75317750316,1.0768e+33
1.23883077826,-7.64264087411,-0.0162968487626,1.23883077826,-7.64264087411,-0.0162968487626,316.204277162,0.211066751131,-110.43094508,19876.251603,1.0,Norma,delta2d,334.933102389,1e+51,12.5878567399,11.4373266339,1.0768e+33
9.30429047708,15.0162968733,-0.0154824888937,9.30429047708,15.0162968733,-0.0154824888937,262.414679717,-193.54886048,190.028906061,14598.0883799,1.0,Crux Scutum,delta2d,377.403776694,1e+51,11.1259317843,10.1090216192,1.0768e+33
2.67411347867,3.25590702143,-0.00732770296928,2.67411347867,3.25590702143,-0.00732770296928,-243.523686575,304.544831968,-497.190685577,7927.19424042,1.0,Crux Scutum,delta2d,631.862262226,1e+51,8.71496801115,7.91841993493,1.0768e+33
-10.2696702844,-5.72946100695,-0.00252353554939,-10.2696702844,-5.72946100695,-0.00252353554939,325.130023095,95.339114324,-172.723505166,11677.8856103,1.0,Carina Sagittarius,delta2d,380.305782068,1e+51,10.175685696,9.24562802341,1.0768e+33
3.94400358427,0.966458058828,0.0469678078488,3.94400358427,0.966458058828,0.0469678078488,136.408423282,636.804931879,-432.42383767,9291.28796411,1.0,Carina Sagittarius,delta2d,781.740464984,1e+51,9.2864209361,8.43764206254,1.0768e+33
-3.05778273221,-5.53005187308,0.0380158283275,-3.05778273221,-5.53005187308,0.0380158283275,111.187120386,-154.77582746,333.598619518,15212.3541015,1.0,Norma,delta2d,384.195485984,1e+51,11.3108845041,10.2770696604,1.0768e+33
